# index epsilon_a epsilon_c a c
12 0.75 0.8 2.32575 18.212
13 0.75 0.85 2.32575 19.35025
14 0.75 0.9 2.32575 20.488500000000002
16 0.8 0.7 2.4808000000000003 15.9355
17 0.8 0.75 2.4808000000000003 17.07375
18 0.8 0.8 2.4808000000000003 18.212
19 0.8 0.85 2.4808000000000003 19.35025
20 0.8 0.9 2.4808000000000003 20.488500000000002
21 0.85 0.65 2.63585 14.79725
22 0.85 0.7 2.63585 15.9355
23 0.85 0.75 2.63585 17.07375
24 0.85 0.8 2.63585 18.212
25 0.85 0.85 2.63585 19.35025
26 0.85 0.9 2.63585 20.488500000000002
27 0.85 0.95 2.63585 21.62675
28 0.9 0.75 2.7909 17.07375
29 0.9 0.8 2.7909 18.212
30 0.9 0.85 2.7909 19.35025
31 0.9 0.9 2.7909 20.488500000000002
32 0.9 0.95 2.7909 21.62675
33 0.95 0.85 2.94595 19.35025
34 0.95 0.9 2.94595 20.488500000000002
35 0.95 0.95 2.94595 21.62675
36 0.95 1.0 2.94595 22.765
37 1.0 0.95 3.101 21.62675
38 1.0 1.0 3.101 22.765
39 1.0 1.05 3.101 23.90325
40 1.0 1.1 3.101 25.041500000000003
41 1.05 1.0 3.25605 22.765
42 1.05 1.05 3.25605 23.90325
43 1.05 1.1 3.25605 25.041500000000003
44 1.1 1.0 3.4111000000000002 22.765
45 1.1 1.05 3.4111000000000002 23.90325
46 1.1 1.1 3.4111000000000002 25.041500000000003
